Report start year,100,Report stop year,299,(inclusive)
Government,Sink,StopC2,Market,BET,ASP,Reward,Ratio,Run,Expenditure,Income,Subsidy,Subsidy.Proportion,Bankruptcies,Land.Use.Change,Occupancy.LU.1,Occupancy.LU.2,Occupancy.LU.3,Occupancy.LU.4,Occupancy.LU.5,Occupancy.LU.6,Extinction.SPP.1,Extinction.SPP.2,Extinction.SPP.3,Extinction.SPP.4,Extinction.SPP.5,Extinction.SPP.6,Extinction.SPP.7,Extinction.SPP.8,Extinction.SPP.9,Extinction.SPP.10,Occupancy.SPP.1,Occupancy.SPP.2,Occupancy.SPP.3,Occupancy.SPP.4,Occupancy.SPP.5,Occupancy.SPP.6,Occupancy.SPP.7,Occupancy.SPP.8,Occupancy.SPP.9,Occupancy.SPP.10,Shannon,Equitability,Richness
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,9,988000,61.8652367206982,24.6384039900249,0.421721721877827,0,0,113,144,10,350,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32768,0.32448,0.30416,0.36752,0.96048,0.77984,0.54736,0.79168,0.78768,0.10832,1.49467372648142,0.358904044625909,10
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,10,952000,59.661462902439,23.219512195122,0.419216974819057,0,0,105,100,20,376,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28576,0.28256,0.22288,0.26784,0.91568,0.7928,0.61984,0.77424,0.75984,0.07504,1.42601832302331,0.308124677208599,10
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,11,987840,54.3541933702882,21.9033259423503,0.430043313870116,0,3.23232323232323e-05,101,62.9292929292929,17.1414141414141,431,4.92929292929293,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19328,0.17808,0.11776,0.16624,0.93952,0.86816,0.69344,0.79408,0.7888,0.09856,1.3427710040114,0.265208451866901,10
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,12,972000,59.5318641404358,23.5351089588378,0.42243833444114,0,0,109,110,6,376,5,19,13,NA,15,NA,NA,NA,NA,NA,NA,NA,0,0.25744,0,0.2832,0.94192,0.80192,0.62256,0.78208,0.77552,0.10096,1.24229669486847,8.51787173617218e-07,8
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,13,969680,57.3711944262295,22.7091334894614,0.423290353276823,0,3.23232323232323e-05,107,86.8585858585859,22.1414141414141,398,3,8,12,14,18,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.24048,0.93632,0.82768,0.63808,0.77728,0.77392,0.0824,1.12936875416157,5.68827501589987e-07,7
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,14,926000,58.3161257384987,22.4213075060533,0.418467594440525,0,0,111,68,28,395,15,8,16,NA,27,NA,NA,NA,NA,NA,NA,NA,0,0.17264,0,0.19776,0.90608,0.82464,0.64944,0.76144,0.7384,0.10576,1.20162843969447,8.89677877419108e-07,8
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,15,1010000,60.1124635869565,24.3961352657005,0.426597972333885,0,0,107,124,9,381,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27264,0.26928,0.19968,0.3224,0.9672,0.80688,0.59504,0.80704,0.80544,0.11488,1.45341870988808,0.35063449299874,10
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,16,990000,56.2021459474886,22.6027397260274,0.428818052311925,0,0,102,84,15,411,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2432,0.23696,0.16528,0.22768,0.94208,0.8456,0.65904,0.79856,0.7896,0.0776,1.390370001609,0.279272049500746,10
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,17,1002000,59.0435092992874,23.8004750593824,0.426483744982453,0,3.23232323232323e-05,104.555555555556,121.444444444444,7,379.555555555556,2,10.4444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28384,0.27984,0.228,0.3112,0.95808,0.81088,0.60848,0.80144,0.79984,0.09312,1.4527662277799,0.319689322491275,10
RewardActivity,0,1,var2,25.0,1.0,20.0,1.0,18,966000,58.3472791408114,23.054892601432,0.425080332531178,0,0,108,83,20,400,3,11,NA,17,13,NA,NA,NA,NA,NA,NA,NA,0.24256,0,0,0.2296,0.93328,0.83216,0.6424,0.77456,0.77056,0.09664,1.22464842086734,8.57631173650382e-07,8
