scenario,aic.gam,bic.gam,ssq.gam,edf.gam,smooth.gam.P,score.gam,dev.expl.gam,aic.gam.k,bic.gam.k,ssq.gam.k,edf.gam.k,smooth.gam.k.P,score.gam.k,dev.expl.gam.k,aic.gam.ml,bic.gam.ml,ssq.gam.ml,edf.gam.ml,smooth.gam.ml.P,score.gam.ml,dev.expl.gam.ml,aic.gam.klm,bic.gam.klm,ssq.gam.klm,edf.gam.klm,smooth.gam.klm.P,score.gam.klm,dev.expl.gam.klm,aic.gam.bs,bic.gam.bs,ssq.gam.bs,edf.gam.bs,smooth.gam.bs.P,score.gam.bs,dev.expl.gam.bs,aic.lm,bic.lm,ssq.lm,diff.gam.k,diff.gam.ml,diff.gam.klm,diff.gam.bs,diff.lm,anova.gam.k.P,anova.gam.ml.P,anova.gam.klm.P,anova.gam.bs.P,anova.lm.P
CO/V/25/1,1043.65367898999,1071.23595626088,99.6847572363348,7.58841096245097,1.7508743098085e-25,-0.772493983568853,0.839757304994904,1043.65367898999,1071.23595626088,99.6847572363348,7.58841096245097,1.7508743098085e-25,-0.772493983568853,0.839757304994904,1044.45129349444,1073.18181717706,100.09627201759,7.50880715089255,1.24440661427474e-25,529.612851832408,0.839209768789899,1080.96814148679,1095.44476351052,276.642416413937,3.98279504571766,9.29781101540145e-33,-0.63922804608028,0.69272098458074,516.699380918553,555.107050490936,96.2348118103482,9.5666830176071,0,0.368442603712911,0.91754440205851,1070.19698868126,1081.10135749077,733.344859287054,0,0.430773454493284,6110.20851641533,458.159558615469,24990.5857877867,NA,0.0773696915149162,2.87737939622882e-09,NA,0
CO/V/25/5,1039.23273734285,1074.57186034303,72.9527654930195,9.72246728376506,1.20798743353812e-22,-0.837772085591793,0.86351418608074,1039.23273734285,1074.57186034303,72.9527654930195,9.72246728376506,1.20798743353812e-22,-0.837772085591793,0.86351418608074,1048.92916639638,1067.97605750174,116.317709058014,4.8648673624838,3.92144089864974e-23,526.423652004917,0.765474290564763,1047.94147357491,1062.21435453643,119.96446874176,3.92674199053475,6.3392590802169e-25,-0.806669456191573,0.756862653597199,382.072120802321,421.927730301198,59.3311295608413,9.96503892938576,0,0.227824621433857,0.930756113485407,881.10307347288,892.007442282388,373.262026266417,0,6827.31080360115,7718.75998245798,315.302400168668,10754.7619500672,NA,0.00197492655829179,0.00209607489020103,NA,0
CO/V/30/1,1020.58224120498,1055.82101163504,61.5444781100744,9.69485837621271,6.49170980963159e-32,-0.829898031856372,0.889136366345627,1020.58224120498,1055.82101163504,61.5444781100744,9.69485837621271,6.49170980963159e-32,-0.829898031856372,0.889136366345627,1025.80701750273,1058.14086111667,66.255470933959,8.0228296811855,7.33624691604061e-32,521.078724794054,0.862349060271414,1060.37121758755,1074.47236722903,204.419157522746,3.87949542641697,2.29249127586595e-30,-0.68779454477577,0.687266311432763,280.403716696493,320.27503225645,41.2644688349744,9.96935996658283,0,0.158455821338076,0.962268173427844,939.934618763642,950.83898757315,460.537054409006,0,811.807864816966,6197.18836272819,357.219872161967,14554.779488109,NA,0.023058139433775,1.95767940478142e-09,NA,0
CO/V/30/5,1026.69507883422,1039.49999338399,170.05149095911,3.5228764103997,1.11743492110767e-20,-0.852944360534462,0.760898653397745,1026.69507883422,1039.49999338399,170.05149095911,3.5228764103997,1.11743492110767e-20,-0.852944360534462,0.760898653397745,1027.47550812706,1042.28790710687,168.556240216309,3.71822991665232,4.09525021452799e-20,513.796266156756,0.763169639304818,1026.42090564179,1038.76425493202,169.949509479873,3.3958909972286,3.50199473526633e-20,-0.853923550507415,0.761040183943576,538.397967262896,578.190983273115,103.706388397488,9.94781826588346,4.68301953908274e-279,0.398169656902349,0.856713895708508,759.792232926272,770.69660173578,242.021763602251,0,5.3670374362235,4.75109704098932,2854.16513972471,1150.5580748305,NA,0.13305772030819,NA,NA,0
O/F/25/1,2313.81777493464,2336.29107706413,30.3242257698409,5.11113524475497,0.000114335384758066,-0.976663525206589,0.878106797744911,2313.81777493464,2336.29107706413,30.3242257698409,5.11113524475497,0.000114335384758066,-0.976663525206589,0.878106797744911,2315.86008690772,2338.06375685052,47.7155127195161,4.26583984998574,0.000163096571534943,1158.31083346822,0.808286548218661,2315.62260740003,2332.15042221456,65.4156084698015,3.75894456144585,8.33449642673263e-05,-0.973655471097613,0.732683890161054,-982.727562231583,-934.471887851929,6.58365762936046,9.97485703970897,0,0.011346905837944,0.972677194690532,976.386675193586,989.577464159235,177.037878787879,0,215.230939977491,520.713388191505,1248.32363091394,4549.73465078861,NA,0.114248835656356,0.0543701500123456,NA,0
O/F/25/5,2387.43214393864,2396.2264370744,761.398706257863,2.00009866551428,0.328498116356534,-0.798762131496471,0.00811501993666695,2387.43214393864,2396.2264370744,761.398706257863,2.00009866551428,0.328498116356534,-0.798762131496471,0.00811501993666695,2387.43257585867,2396.22789127447,761.398481694638,2.00016559200968,0.328531278271918,1191.71630855598,0.00811530097197158,2387.43225885923,2396.22671726345,761.398974328417,2.00013625275692,0.328516744180982,-0.798761939962166,0.00811468224003016,1152.99996866189,1201.30374740142,231.38890776905,9.98579748307378,8.61372453300007e-252,0.398812585155247,0.698696012888221,1851.64520642043,1864.83599538608,761.376464646465,0,9.73832419932769e-09,4.54049301232629e-09,23953.736890022,0.00587328011704624,NA,0.000349049155734836,NA,NA,0
O/F/30/1,2261.40730409461,2301.73472090677,50.304244980811,9.17172208209395,1.37284312058772e-17,-0.956379414478479,0.93763395632247,2261.40730409461,2301.73472090677,50.304244980811,9.17172208209395,1.37284312058772e-17,-0.956379414478479,0.93763395632247,2261.93999352506,2302.87185288143,51.9244035063078,9.05375149516838,2.16419783805318e-17,1140.8266284667,0.935580680215324,2337.18317842797,2350.85897857868,572.632792864484,3.11030678748489,4.12754346550047e-06,-0.830086290589552,0.23742198979116,177.40032160907,225.697308075232,45.5178982072136,9.9842527066283,0,0.0784524019467206,0.939853593547423,1712.41497858837,1725.60576755401,603.700101010101,0,2.14717852581094,13240.3002157329,3323.96025424144,15409.2651880777,NA,0.0920465063085153,9.03742948797632e-17,NA,0
O/F/30/5,2247.52416435347,2290.04561326137,106.551522295877,9.67071393954397,1.44292018385587e-39,-0.935811446873271,0.926353383699999,2247.52416435347,2290.04561326137,106.551522295877,9.67071393954397,1.44292018385587e-39,-0.935811446873271,0.926353383699999,2248.40438697951,2290.86764946662,112.825243853363,9.36028499421008,2.13130755509142e-38,1135.62968864526,0.922870406320847,2371.99901222086,2389.49085167005,945.97562454659,3.97819406285904,9.97079921907193e-21,-0.728353367094288,0.404458146022667,674.731706351487,723.062311426227,104.268131686884,9.99189863485867,0,0.179716061432803,0.931052971411928,2181.37516087541,2194.56594984106,1319.06424242424,0,23.7274958721553,14329.9825748411,2876.79489376096,28577.2179913624,NA,0.101827619837175,4.47882980425162e-27,NA,0
O/V/25/1,2187.34572678975,2230.80763349907,96.4945677270092,9.88460360237036,6.47366620152309e-43,-0.866135929941196,0.900874058026487,2187.34572678975,2230.80763349907,96.4945677270092,9.88460360237036,6.47366620152309e-43,-0.866135929941196,0.900874058026487,2187.79650879926,2231.24674167628,97.9880530922156,9.74173052879159,4.13161601825198e-44,1109.30426010934,0.900127383861619,2383.11748176887,2400.64288465622,783.399866345368,3.98582744360165,1.32575126447431e-57,-0.539849671642657,0.561059638105975,625.882231450297,674.140029900358,96.1207462102123,9.97534012007955,0,0.165663967325506,0.957454859783951,2243.45721258424,2256.64800154989,1462.85888888889,0,7.27133902929693,12652.6142976519,18620.4818383618,32972.7610704154,NA,0.079536138435627,3.83981701568276e-42,NA,0
O/V/25/5,2216.45092208633,2256.3845672487,163.564718605275,9.08216603260813,2.14396072057669e-33,-0.912963261780819,0.861209651351417,2216.45092208633,2256.3845672487,163.564718605275,9.08216603260813,2.14396072057669e-33,-0.912963261780819,0.861209651351417,2219.70255998974,2243.78972534945,216.930261147541,4.89994453874396,6.59713373121333e-35,1111.22082087134,0.81858513834751,2219.34958608556,2235.89927700536,231.663984193531,3.7639198753539,7.7154109805244e-37,-0.908132155115437,0.806051831990868,923.897328159311,972.090954070627,157.960602633476,9.96074526781264,0,0.272231402594283,0.87674974923751,1489.5660003768,1502.75678934245,416.406767676768,0,615.935544662361,971.37648040933,473.290690350017,5119.04471671306,NA,0.0378641795722435,0.0232774048813618,NA,0
O/V/30/1,2218.40567705438,2259.67534819536,145.174855448591,9.38602033171511,8.46839911268489e-30,-0.922790104859715,0.87228313961529,2218.40567705438,2259.67534819536,145.174855448591,9.38602033171511,8.46839911268489e-30,-0.922790104859715,0.87228313961529,2230.495113511,2255.24840013536,233.516554887316,4.73287822246161,1.60396050776177e-29,1116.08023948261,0.781424046675162,2230.6056445193,2246.03276817591,250.765650948772,3.50861279718444,1.32714556350285e-30,-0.902456825751529,0.761248766482691,859.745757116134,907.944171112374,141.942598018895,9.96183422881505,0,0.244626663441169,0.87672815554262,1442.2855173548,1455.47630632045,384.853131313131,0,1661.63834957065,2340.11599415436,1077.44626015953,5708.94568379083,NA,0.00109957622762014,0.000480805430414929,NA,0
O/V/30/5,2190.20113382865,2230.88804424324,119.963509323319,9.25348222624386,3.24948135641473e-30,-0.931866668481915,0.893105125527034,2190.20113382865,2230.88804424324,119.963509323319,9.25348222624386,3.24948135641473e-30,-0.931866668481915,0.893105125527034,2190.74188466501,2231.88547167046,121.705801408084,9.10503339883192,6.03853247652465e-30,1105.49744617593,0.891513980996341,2289.94732377757,2298.74266972052,689.061305859045,2.00033810695904,1.96475829838141e-17,-0.765623018567046,0.347224577369583,740.230916700875,788.412779897582,116.308237075702,9.95807005680627,0,0.200445344418481,0.895065917866971,1794.65658708289,1807.84737604854,692.388282828283,0,2.82532319854347,14000.5662492254,3987.12295213959,13609.3483438858,NA,0.100288370503426,1.74408205239807e-21,NA,0
